Movie,Score,Poster_URL
Kramer vs. Kramer,97%,https://posters.movieposterdb.com/12_07/1979/79417/s_79417_bbfedee7.jpg
Lawrence of Arabia,82%,https://posters.movieposterdb.com/12_09/1962/56172/s_56172_0cac8e1e.jpg
Transformers,67%,https://posters.movieposterdb.com/12_07/1984/86817/s_86817_6c23fe02.jpg
Avengers: Infinity War,70%,https://posters.movieposterdb.com/21_08/2018/4154756/s_4154756_422c1e98.jpg
Spider-Man: Homecoming,83%,https://posters.movieposterdb.com/20_12/2016/2250912/s_2250912_56f3e4f2.jpg
The Dark Knight Rises,88%,https://posters.movieposterdb.com/21_06/2012/1345836/s_1345836_429edb63.jpg
Star Wars: The Last Jedi,45%,https://posters.movieposterdb.com/23_03/2018/11563030/s_rifftrax-star-wars-the-last-jedi-movie-poster_be64fcf4.jpg
Schindler's List,96%,https://posters.movieposterdb.com/08_02/1993/108052/s_108052_6ad6d11e.jpg
Birdman or (The Unexpected Virtue of Ignorance),97%,https://posters.movieposterdb.com/14_10/2014/2562232/s_2562232_00f05f8d.jpg
The Hurt Locker,79%,https://posters.movieposterdb.com/09_04/2008/887912/s_887912_c3eab34d.jpg
Jumanji: Welcome to the Jungle,71%,https://posters.movieposterdb.com/20_02/2017/2283362/s_2283362_3bf15445.jpg
Toy Story 4,52%,https://posters.movieposterdb.com/22_09/2019/1979376/s_1979376_80a0cd8b.jpg
The Hobbit: An Unexpected Journey,81%,https://posters.movieposterdb.com/12_11/2012/903624/s_903624_294e4d80.jpg
Ghost,89%,https://posters.movieposterdb.com/22_05/2013/3408866/s_3408866_83706e6e.jpg
Raging Bull,91%,https://posters.movieposterdb.com/09_11/1980/81398/s_81398_d9c7bfaa.jpg
Atonement,90%,https://posters.movieposterdb.com/22_10/1919/9891/s_atonement-movie-poster_ea98e151.jpg
The Big Short,87%,https://posters.movieposterdb.com/15_10/2015/1596363/s_1596363_d888d412.jpg
The Social Network,92%,https://posters.movieposterdb.com/10_09/2010/1285016/s_1285016_dfc017d5.jpg
Chariots of Fire,92%,https://posters.movieposterdb.com/08_03/1981/82158/s_82158_146b0106.jpg
